Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active cases,"Serious,Critical",Tot cases 1M pop,Death 1M pop,Total Tests,Tests 1M pop,Population
China,"98,608",+25,"4,636 ",,"93,163",+76,809,7,69,3,"160,000,000","111,163","1,439,323,776 "
USA,"49,077,695","+22,612","799,312 ",+127,"38,861,714","+21,031","9,416,669","12,438","147,059","2,395","748,307,879","2,242,266","333,728,343 "
India,"34,572,523","+8,774","468,554 ",+621,"33,988,797","+10,967","115,172","8,944","24,711",335,"638,247,889","456,201","1,399,050,262 "
Brazil,"22,076,863","+9,233","614,236 ",+236,"21,288,281","+5,477","174,346","8,318","102,836","2,861","63,776,166","297,074","214,681,007 "
UK,"10,109,234","+39,175","144,724 ",+131,"8,951,833","+39,409","1,012,677",925,"147,824","2,116","358,682,719","5,244,911","68,386,811 "
Russia,"9,536,825","+33,946","271,531 ","+1,239","8,237,465","+36,494","1,027,829","2,300","65,311","1,860","223,500,000","1,530,587","146,022,371 "
Turkey,"8,724,400","+23,759","76,233 ",+192,"8,258,603","+25,103","389,564","1,405","101,905",890,"106,612,299","1,245,283","85,612,912 "
France,"7,588,400","+37,218","118,871 ",+34,"7,098,647","+8,487","370,882","1,563","115,895","1,815","162,981,031","2,489,157","65,476,395 "
Iran,"6,105,101","+3,045","129,549 ",+87,"5,853,066","+11,196","122,486","3,356","71,403","1,515","38,439,240","449,573","85,501,635 "
Germany,"5,744,517","+49,311","101,340 ",+170,"4,803,100","+27,800","840,077","4,202","68,257","1,204","83,816,414","995,915","84,160,230 "
Argentina,"5,325,560","+1,521","116,517 ",+12,"5,189,507","+1,349","19,536",593,"116,335","2,545","26,111,525","570,395","45,777,993 "
Spain,"5,131,012",,"87,955 ",,"4,914,286",,"128,771",597,"109,683","1,880","66,213,858","1,415,424","46,780,219 "
Colombia,"5,063,177","+2,620","128,394 ",+51,"4,903,231","+2,629","31,552",342,"98,040","2,486","27,975,654","541,700","51,644,152 "
Italy,"4,994,886","+12,872","133,627 ",+90,"4,682,318","+6,451","178,941",624,"82,783","2,215","117,823,171","1,952,754","60,336,914 "
Indonesia,"4,255,672",+404,"143,807 ",+11,"4,103,639",+260,"8,226",,"15,331",518,"53,681,387","193,388","277,583,493 "
Mexico,"3,879,836","+3,445","293,614 ",+165,"3,236,518","+2,158","349,704","4,798","29,655","2,244","11,808,599","90,256","130,834,203 "
Poland,"3,487,252","+26,180","82,986 ",+378,"2,978,108","+22,630","426,158","1,752","92,284","2,196","24,217,580","640,874","37,788,374 "
Ukraine,"3,414,540","+14,200","84,717 ",+568,"2,899,967","+22,946","429,856",177,"78,740","1,954","15,793,678","364,207","43,364,521 "
South Africa,"2,958,548","+3,220","89,791 ",+8,"2,847,083","+1,476","21,674",546,"49,017","1,488","19,383,834","321,147","60,358,082 "
Philippines,"2,830,969",+691,"48,205 ",+188,"2,765,599","+1,346","17,165","1,170","25,361",432,"24,070,626","215,633","111,627,726 "
Malaysia,"2,619,577","+5,097","30,280 ",+40,"2,522,045","+5,352","67,252",510,"79,507",919,"37,457,825","1,136,879","32,947,942 "
Netherlands,"2,577,446","+22,031","19,272 ",+55,"2,089,332","+7,624","468,842",540,"149,955","1,121","19,205,114","1,117,348","17,188,128 "
Peru,"2,232,749","+1,574","201,071 ",+45,N/A,N/A,N/A,954,"66,419","5,981","20,204,659","601,037","33,616,328 "
Czechia,"2,110,545","+20,344","32,793 ",+90,"1,822,612",+574,"255,140",924,"196,570","3,054","43,387,814","4,041,004","10,736,889 "
Thailand,"2,100,959","+6,073","20,675 ",+32,"2,000,502","+6,538","79,782","1,595","29,994",295,"14,913,135","212,905","70,045,997 "
Iraq,"2,079,084",+563,"23,772 ",+7,"2,040,978","+1,366","14,334",114,"50,113",573,"16,287,958","392,598","41,487,672 "
Canada,"1,784,354","+2,183","29,628 ",+10,"1,728,330",+804,"26,396",480,"46,703",775,"48,485,587","1,269,033","38,206,733 "
Romania,"1,775,572","+1,727","56,187 ",+161,"1,675,184","+5,083","44,201","1,265","93,170","2,948","15,954,011","837,159","19,057,336 "
Chile,"1,757,077","+2,634","38,282 ",+37,"1,650,209","+2,109","68,586",674,"90,821","1,979","25,412,845","1,313,558","19,346,576 "
Japan,"1,726,935",+112,"18,357 ",+4,"1,707,625",+206,953,50,"13,713",146,"27,752,215","220,374","125,932,426 "
Belgium,"1,701,633","+21,772","26,840 ",+47,"1,307,154","+5,695","367,639",669,"145,932","2,302","24,287,332","2,082,879","11,660,462 "
Bangladesh,"1,575,579",+155,"27,975 ",+2,"1,540,018",+188,"7,586","1,362","9,435",168,"10,832,247","64,867","166,992,605 "
Israel,"1,341,881",+340,"8,184 ",+2,"1,327,046",,"6,651",128,"143,886",878,"31,188,024","3,344,202","9,326,000 "
Pakistan,"1,283,886",+411,"28,704 ",+7,"1,241,589",+300,"13,593",935,"5,658",127,"21,876,689","96,413","226,906,757 "
Serbia,"1,248,719","+2,211","11,537 ",+53,"1,180,992","+5,052","56,190",212,"143,731","1,328","6,773,079","779,598","8,687,917 "
Sweden,"1,198,848",,"15,113 ",,"1,155,281",,"28,454",32,"117,676","1,483","13,586,095","1,333,579","10,187,695 "
Vietnam,"1,197,404","+16,067","24,692 ",+148,"956,924","+1,668","215,788","5,383","12,148",251,"67,526,948","685,079","98,568,120 "
Portugal,"1,139,810","+3,364","18,405 ",+12,"1,069,716","+2,543","51,689",104,"112,242","1,812","20,844,492","2,052,647","10,154,934 "
Austria,"1,132,805","+11,671","12,349 ",+65,"968,185","+11,697","152,271",608,"124,778","1,360","109,556,932","12,067,651","9,078,563 "
Hungary,"1,068,888",,"33,866 ",,"862,534",,"172,488",695,"111,043","3,518","8,298,820","862,136","9,625,885 "
Switzerland,"982,290",,"11,488 ",+2,"856,642","+1,798","114,160",179,"112,345","1,314","12,159,978","1,390,746","8,743,491 "
Kazakhstan,"969,245",+905,"12,651 ",+16,"933,107","+1,311","23,487",528,"50,767",663,"11,575,012","606,278","19,091,919 "
Cuba,"962,067",+183,"8,300 ",+1,"952,739",+231,"1,028",30,"85,012",733,"11,045,585","976,025","11,316,903 "
Morocco,"949,648",+116,"14,774 ",+1,"931,883",+171,"2,991",347,"25,307",394,"10,403,984","277,258","37,524,575 "
Jordan,"939,293","+2,674","11,515 ",+29,"878,156","+1,207","49,622","1,037","90,794","1,113","12,015,838","1,161,475","10,345,322 "
Greece,"920,683","+5,859","17,861 ",+82,"821,280","+7,099","81,542",641,"88,942","1,725","35,377,491","3,417,617","10,351,509 "
Georgia,"835,306","+4,058","11,871 ",+61,"774,458","+2,157","48,977",,"209,960","2,984","11,449,856","2,877,999","3,978,408 "
Nepal,"820,724",+197,"11,521 ",+3,"802,047",+325,"7,156",,"27,475",386,"4,604,396","154,139","29,871,789 "
UAE,"741,858",+68,"2,145 ",,"736,699",+98,"3,014",,"73,757",213,"100,534,447","9,995,361","10,058,111 "
Tunisia,"717,163",+175,"25,363 ",+1,"690,707",+136,"1,093",58,"59,802","2,115","3,166,844","264,075","11,992,207 "
Bulgaria,"688,628","+1,218","28,043 ",+47,"555,443","+1,147","105,142",783,"100,165","4,079","6,498,924","945,307","6,874,932 "
Lebanon,"666,768","+1,515","8,701 ",+8,"631,294",+655,"26,773",186,"98,307","1,283","4,795,578","707,052","6,782,494 "
Slovakia,"660,386","+9,152","14,228 ",+51,"540,119","+7,174","106,039",545,"120,875","2,604","4,528,103","828,813","5,463,357 "
Belarus,"650,168","+1,696","5,041 ",+15,"636,653","+2,000","8,474",,"68,838",534,"10,342,898","1,095,071","9,444,956 "
Guatemala,"617,495",+458,"15,917 ",+19,"599,826",+507,"1,752",5,"33,595",866,"3,107,294","169,055","18,380,333 "
Croatia,"599,977","+5,502","10,695 ",+51,"554,729","+5,629","34,553",325,"147,426","2,628","3,411,379","838,241","4,069,689 "
Azerbaijan,"584,121","+1,617","7,789 ",+22,"549,333","+1,979","26,999",,"56,890",759,"5,509,701","536,617","10,267,477 "
Costa Rica,"566,560",,"7,287 ",,"543,875",,"15,398",92,"109,811","1,412","2,715,029","526,227","5,159,422 "
Sri Lanka,"561,778",+719,"14,278 ",+20,"529,240",+434,"18,260",,"26,081",663,"5,626,024","261,198","21,539,347 "
Ireland,"556,319","+4,791","5,652 ",,"434,095","+2,608","116,572",121,"110,927","1,127","8,762,233","1,747,134","5,015,203 "
Saudi Arabia,"549,671",+29,"8,832 ",+2,"538,824",+40,"2,015",44,"15,451",248,"31,078,369","873,614","35,574,486 "
Bolivia,"535,115","+1,359","19,137 ",+16,"490,521",+689,"25,457",220,"44,981","1,609","2,578,215","216,721","11,896,452 "
Ecuador,"524,432",,"33,128 ",,"443,880",,"47,424",759,"29,105","1,839","1,991,800","110,539","18,018,917 "
Myanmar,"521,211",+505,"19,079 ",+12,"495,408",+660,"6,724",,"9,490",347,"5,523,097","100,563","54,921,980 "
Panama,"477,306",+210,"7,361 ",+1,"467,285",+213,"2,660",20,"108,231","1,669","4,224,325","957,885","4,410,053 "
Denmark,"474,637","+3,744","2,863 ",+13,"403,118",,"68,656",50,"81,541",492,"92,864,721","15,953,805","5,820,851 "
Lithuania,"466,678","+2,087","6,673 ",+22,"431,891","+3,567","28,114",131,"174,858","2,500","6,100,515","2,285,786","2,668,891 "
Paraguay,"462,908",+53,"16,461 ",+2,"445,588",+65,859,42,"63,801","2,269","1,941,408","267,578","7,255,496 "
S. Korea,"436,968","+4,067","3,492 ",+52,"390,141","+6,590","43,335",634,"8,513",68,"15,804,065","307,884","51,331,169 "
Venezuela,"430,046",+686,"5,131 ",+7,"417,137",+904,"7,778",681,"15,184",181,"3,359,014","118,598","28,322,731 "
Palestine,"429,333",+125,"4,524 ",+3,"422,114",+149,"2,695",38,"81,504",859,"2,720,854","516,524","5,267,625 "
Slovenia,"415,898","+2,224","5,165 ",+23,"370,639","+3,644","40,094",196,"200,015","2,484","1,924,394","925,484","2,079,339 "
Kuwait,"413,266",+21,"2,465 ",,"410,575",+29,226,,"94,804",565,"5,268,253","1,208,542","4,359,182 "
Dominican Republic,"406,511",+490,"4,204 ",+2,"398,726",+853,"3,581",201,"36,953",382,"2,444,399","222,206","11,000,614 "
Uruguay,"399,181",+291,"6,125 ",+1,"390,912",+193,"2,144",13,"114,358","1,755","4,083,835","1,169,939","3,490,639 "
Mongolia,"380,616",+486,"1,985 ",+4,"313,256",,"65,375",192,"113,537",592,"4,030,048","1,202,157","3,352,348 "
Honduras,"377,888",+29,"10,403 ",,"120,308",+4,"247,177",59,"37,320","1,027","1,121,382","110,747","10,125,595 "
Ethiopia,"371,177",+119,"6,736 ",+9,"348,299",+211,"16,142",226,"3,120",57,"3,856,635","32,421","118,954,041 "
Libya,"370,787",,"5,430 ",,"339,003",,"26,354",,"52,951",775,"1,895,515","270,695","7,002,404 "
Moldova,"362,326",+498,"9,054 ",+32,"346,067",+841,"7,205",205,"90,113","2,252","2,196,983","546,406","4,020,790 "
Egypt,"355,767",+931,"20,305 ",+68,"295,434",+531,"40,028",90,"3,387",193,"3,693,367","35,161","105,041,091 "
Armenia,"337,522",+517,"7,485 ",+26,"314,020","+1,403","16,017",,"113,605","2,519","2,348,877","790,595","2,971,023 "
Oman,"304,519",,"4,113 ",,"299,951",,455,7,"57,580",778,"25,000,000","4,727,144","5,288,605 "
Bahrain,"277,552",+16,"1,394 ",,"275,889",+24,269,2,"155,548",781,"7,349,180","4,118,676","1,784,355 "
Bosnia and Herzegovina,"272,798",,"12,456 ",,"192,218",,"68,124",,"83,883","3,830","1,385,921","426,157","3,252,140 "
Singapore,"261,636","+1,761",690 ,+6,"246,262","+1,897","14,684",58,"44,233",117,"21,098,774","3,567,029","5,914,943 "
Norway,"259,200","+1,891","1,050  ",,"88,952",,"169,198",62,"47,293",192,"8,537,200","1,557,667","5,480,759 "
Kenya,"254,940",+36,"5,332 ",,"248,116",+31,"1,492",20,"4,599",96,"2,824,639","50,957","55,431,621 "
Latvia,"251,925",+919,"4,130 ",+17,"235,841","+2,722","11,954",178,"135,671","2,224","5,314,360","2,861,976","1,856,885 "
Qatar,"242,979",+155,611 ,,"240,399",+121,"1,969",17,"86,537",218,"2,977,273","1,060,356","2,807,805 "
Estonia,"221,160",+646,"1,789 ",+8,"200,165","+2,073","19,206",36,"166,563","1,347","2,319,477","1,746,873","1,327,788 "
North Macedonia,"214,676",+463,"7,528 ",+17,"198,755",+336,"8,393",,"103,048","3,614","1,465,204","703,325","2,083,254 "
Nigeria,"213,982",+58,"2,975 ",,"207,184",+70,"3,823",11,"1,003",14,"3,479,682","16,314","213,299,131 "
Zambia,"210,138",+20,"3,667 ",,"206,371",+13,100,10,"10,999",192,"2,711,872","141,945","19,105,139 "
Algeria,"209,980",+163,"6,052 ",+6,"144,029",+127,"59,899",21,"4,670",135,"230,861","5,135","44,961,577 "
Australia,"206,748","+1,477","1,990 ",+5,"190,566",+772,"14,192",72,"7,978",77,"47,498,541","1,832,849","25,915,138 "
Albania,"199,137",+405,"3,085 ",+8,"188,593",+548,"7,459",23,"69,304","1,074","1,388,238","483,137","2,873,382 "
Botswana,"194,909",,"2,416 ",,"191,961",,532,1,"80,601",999,"1,859,485","768,954","2,418,202 "
Uzbekistan,"192,599",+218,"1,395 ",+3,"189,259",+213,"1,945",23,"5,640",41,"1,377,915","40,349","34,149,775 "
Kyrgyzstan,"183,207",+67,"2,740 ",+3,"177,960",+91,"2,507",131,"27,446",410,"1,825,564","273,485","6,675,185 "
Finland,"182,284",,"1,309 ",,"46,000",,"134,975",44,"32,827",236,"7,866,903","1,416,742","5,552,811 "
Afghanistan,"157,190",+19,"7,308 ",+1,"140,451",+9,"9,431","1,124","3,914",182,"789,492","19,660","40,157,231 "
Montenegro,"156,608",+340,"2,283 ",+2,"151,467",+412,"2,858",60,"249,305","3,634","901,219","1,434,655","628,178 "
Mozambique,"151,515",,"1,940 ",,"149,471",,104,8,"4,665",60,"973,694","29,976","32,482,023 "
Zimbabwe,"133,951",+115,"4,705 ",+1,"128,646",+19,600,12,"8,832",310,"1,584,535","104,476","15,166,493 "
Cyprus,"131,462",,591 ,,"124,370",,"6,501",37,"107,782",485,"9,477,138","7,770,057","1,219,700 "
Ghana,"130,920",,"1,209 ",,"129,042",,669,5,"4,094",38,"1,933,408","60,452","31,982,291 "
Namibia,"129,160",+9,"3,573 ",+1,"125,472",+7,115,2,"49,573","1,371","785,454","301,467","2,605,440 "
Uganda,"127,423",+48,"3,252 ",+1,"97,429",+12,"26,742",127,"2,668",68,"1,943,368","40,687","47,763,552 "
Cambodia,"120,064",+26,"2,927 ",+5,"116,446",+29,691,,"7,045",172,"2,696,502","158,212","17,043,634 "
El Salvador,"118,919",,"3,768 ",+4,"101,092",,"14,059",316,"18,205",577,"1,408,214","215,581","6,532,167 "
Cameroon,"106,794",,"1,791 ",,"102,716",,"2,287",152,"3,887",65,"1,751,774","63,766","27,471,816 "
Rwanda,"100,325",+14,"1,342 ",+1,"45,521",,"53,462",1,"7,486",100,"3,439,172","256,614","13,402,134 "
Maldives,"91,350",+76,248 ,,"89,295",+105,"1,807",23,"164,922",448,"1,739,647","3,140,741","553,897 "
Jamaica,"91,122",+96,"2,385 ",+9,"62,347",+90,"26,390",11,"30,585",801,"669,590","224,746","2,979,319 "
Luxembourg,"88,108",,866 ,,"83,258",,"3,984",10,"137,612","1,353","3,675,228","5,740,176","640,264 "
Senegal,"73,981",+6,"1,885 ",,"72,084",+2,12,2,"4,261",109,"870,765","50,153","17,362,117 "
Laos,"70,323","+1,491",154 ,+7,"7,339",,"62,830",,"9,473",21,"769,861","103,703","7,423,689 "
Trinidad and Tobago,"69,680",+672,"2,090 ",+29,"57,248",+306,"10,342",22,"49,564","1,487","442,819","314,982","1,405,853 "
Angola,"65,139",+9,"1,733 ",,"63,192",+9,214,3,"1,899",51,"1,179,270","34,383","34,297,791 "
Malawi,"61,889",+3,"2,304 ",,"58,763",,822,67,"3,122",116,"440,184","22,206","19,822,560 "
Ivory Coast,"61,704",+18,704 ,,"60,684",+20,316,,"2,261",26,"1,131,105","41,442","27,293,612 "
Réunion,"59,048",,381 ,,"56,040",,"2,627",18,"65,298",421,"1,347,378","1,489,994","904,284 "
DRC,"58,115",,"1,104 ",,"50,930",,"6,081",,622,12,"306,299","3,280","93,374,274 "
Guadeloupe,"55,147",,746 ,,"2,250",,"52,151",23,"137,792","1,864","551,264","1,377,402","400,220 "
Fiji,"52,494",,696 ,,"50,991",,807,,"57,968",769,"459,815","507,765","905,566 "
Suriname,"50,710",+54,"1,162 ",+4,"29,566",+3,"19,982",10,"85,369","1,956","158,264","266,433","594,011 "
Syria,"47,764",,"2,729 ",,"28,794",,"16,241",,"2,639",151,"103,566","5,723","18,096,435 "
Eswatini,"46,528",+4,"1,248 ",,"45,238",,42,10,"39,530","1,060","386,939","328,743","1,177,026 "
French Guiana,"45,864",,326 ,,"11,254",,"34,284",11,"148,174","1,053","447,549","1,445,903","309,529 "
French Polynesia,"45,609",,636 ,,N/A,N/A,N/A,7,"161,056","2,246",,,"283,188 "
Martinique,"44,318",,700 ,,104,,"43,514",1,"118,227","1,867","416,247","1,110,418","374,856 "
Madagascar,"44,072",,967 ,,"41,322",,"1,783",3,"1,536",34,"249,510","8,697","28,688,461 "
Sudan,"42,056",,"3,114 ",,"32,905",,"6,037",,929,69,"238,579","5,268","45,284,187 "
